finess,finessgeo,coordxet,coordyet
010012706,010013290,869588.8,6569979.1
490023991,010013308,916733.2,6562077.7
010013316,010013324,916494.3,6561097.4
010008407,010013332,906482.3,6580877.6
010785897,010013340,859683.2,6529424.4
010013357,010013365,876685.8,6579218.1
010013373,010013381,870280,6571101.7
750721334,010013399,871451.1,6569999.7
010013407,010013415,901636,6545871.1
010780054,010013423,871511.3,6569687
010780054,010013431,871511.3,6569687
330067695,010013449,918257.1,6560224.5
010000255,010013472,871632.8,6569212.9
010780054,010013480,871511.3,6569687
010013498,010013506,854242.3,6527749.5
010013514,010013522,872679.9,6569831.2
010010908,010013530,904688.4,6576814.9
010013548,010013555,881873.4,6544758.6
010013563,010013571,908313.3,6520061.2
010013589,010013597,935221.3,6584833.3
010013605,010013613,902284.5,6578385.1
010013621,010013639,857070.5,6546449
010013647,010013654,870262.2,6571540.8
010013662,010013670,873411.2,6571006.6
010780112,010780013,941563.4,6587726.7
940031339,010780021,883434.9,6547086.8
010000156,010780195,873766.1,6570414.6
010010718,010780203,882724.8,6542583.8
010783009,010780278,902409.5,6544775.7
690000278,010780294,908313.3,6520061.2
750005068,010780476,915715.4,6549342.5
360000707,010780492,851176,6526655.4
010785897,010780500,905944.6,6530962.7
010785947,010780542,898735.2,6568141.2
010785939,010780559,871651.5,6567204.5
010785897,010780567,904313.8,6575324.4
010000255,010780575,871632.8,6569212.9
010785897,010780583,872351.7,6566809.9
010783009,010780591,872775.3,6568889.5
940031339,010780609,874545.9,6543928.3
010785897,010780617,908393.4,6520870.3
690793195,010780625,886029.7,6550460.6
010785897,010780633,883535.5,6567720.6
690791686,010780641,845821.3,6537379.5
010785947,010780666,900702.4,6544725.3
930019484,010780781,907867.5,6512706.9
010783009,010780799,901717,6545638.2
690793195,010780849,918152.4,6545075.7
010783009,010780864,939295.4,6577936.8
010000339,010780906,882017.3,6543697.2
010000347,010780914,845671.3,6583540.8
010000354,010780922,890470,6556779.9
010000362,010780930,907567.2,6537119.7
010000388,010780955,880472.8,6589614.9
010000396,010780963,882214,6536264.8
010000404,010780971,859414.8,6529817
010009132,010780989,835990.8,6554683.4
010000438,010781003,859450,6597350.7
010000446,010781011,846533.1,6554123.9
010000453,010781029,894537.5,6538748.6
010780096,010781037,856813.4,6546601.8
690793195,010781045,917558.6,6561601
010000487,010781078,880857.9,6553371.9
010785806,010783058,872350.7,6569287.2
690802715,010784098,836116.4,6544043.7
690793195,010784106,917928.6,6564723.1
010785913,010784114,883938.8,6567456.5
750721334,010784130,917537,6560675.1
010785947,010784148,861545.7,6530188.6
690000484,010784155,871440.9,6570702.3
010785897,010784163,870127.1,6570757.7
010785897,010784171,904391.5,6575506.1
010785897,010784189,904313.8,6575324.4
690791108,010784197,910769.6,6538150.1
010785897,010784205,864463.8,6557732
010785897,010784213,908139.2,6520834.8
010785897,010784221,910611.8,6518589.5
010783009,010784262,836559.3,6539421
010785897,010784288,880549.3,6579963.7
010785897,010784296,878295.7,6567699.5
010785897,010784304,880642.7,6579997.1
010780054,010784312,871097,6569497
930019229,010784320,871511.3,6569687
010780096,010784353,841782.5,6537979.8
010783009,010784379,870665.3,6569218.9
010009132,010784429,845008.9,6575135.4
010009132,010784437,838951,6565128.9
690791108,010784502,910903.4,6520577.1
010780112,010784510,935221.3,6584833.3
010785665,010784551,859574.1,6597422.9
010786978,010784569,882167.8,6576966.7
010784908,010784577,853296.8,6570319.7
010000602,010784593,851689.7,6527138
010787737,010784601,853602,6527274.3
010012771,010784627,904275.5,6576527.1
010011823,010784635,857669.9,6572888.1
010784841,010784643,873797.6,6585171.3
010000602,010784692,851689.7,6527138
690048111,010784759,872994.2,6571106.9
010785897,010784767,872997.9,6569619.3
010785897,010784775,873766.7,6568859.1
010785897,010784783,908779.2,6521439.7
010789121,010784809,941210.1,6589126.6
010000628,010784817,871157.4,6572136.9
010783009,010784981,870618.7,6567988
010790111,010785277,904633.7,6576933
010787109,010785285,909123.4,6521242.1
010007367,010785392,871057,6568848.5
010007151,010785400,870280,6571101.7
010000735,010785483,872143,6568727.6
690793195,010785673,908992.9,6520832.2
010000602,010785681,853572,6527739.4
010787042,010785699,864351.5,6574550
010785939,010785715,871651.5,6567204.5
010785921,010785731,853048.2,6527441.4
330066465,010785822,864813.8,6530269.8
010787091,010785863,871968.5,6570415.6
330066465,010786002,853649.7,6560187.9
010780062,010786010,908313.3,6520061.2
010008407,010786036,901299.6,6564327
010008407,010786077,904133,6576274.1
010780138,010786085,849456.3,6594357.1
010780153,010786101,888735.7,6541424
010780104,010786119,867906.4,6546351.5
010780179,010786135,841722.8,6580373.8
010780120,010786143,870961.3,6537224.5
010780120,010786150,870118.2,6536469.4
010787224,010786176,879301,6570780.8
010785897,010786184,876496.5,6579055.2
010785871,010786549,871568.9,6570068.3
690783220,010786556,869994.5,6572876.2
010786986,010786671,903594.5,6576217.7
010783009,010786705,853803.2,6527388
010783009,010786713,909121.6,6521304.9
010783009,010786721,882141.9,6542534.3
010783009,010786754,918401.3,6560324
010787125,010786762,870665.3,6569218.9
010785806,010786812,871957.5,6569370.1
690793195,010786853,918152.4,6545075.7
690791108,010786861,910769.6,6538150.1
010780062,010786879,908642.2,6521545.1
010783009,010786911,870665.3,6569218.9
010787075,010786929,875872,6568151.3
010783009,010787141,902299.3,6544387.7
010007185,010787612,841420,6538890.8
010780054,010787646,870262.2,6571540.8
010783009,010787729,902219,6544448.5
010012532,010787752,878298.8,6567156.4
010787109,010787778,880643.7,6589475.8
010783009,010787844,871883,6569653.4
010783009,010787869,917572.9,6560441.4
010783009,010787885,871533.5,6569966.5
010783009,010787893,870734.6,6574998.1
010783009,010787927,939753.3,6578202.6
010783009,010787968,838556,6539018
010785921,010787984,871995.4,6570424.9
010000925,010787992,873453.3,6571020.7
010009132,010788008,845008.9,6575135.4
010780948,010788024,850711.6,6559263
010780997,010788032,863556.2,6584482.7
330050899,010788040,910078.4,6533819.2
010784270,010788172,871756.1,6567453
010787109,010788214,918508.8,6560431.2
010787109,010788222,882317.6,6535854
010000974,010788230,851132.8,6538983.4
010783009,010788248,909121.6,6521304.9
010780120,010788263,870112.6,6536420.5
010785897,010788339,916742.9,6561845
010783009,010788347,939634.1,6577517.4
690799556,010788362,871217.5,6568763.7
010785897,010788388,910283.6,6533790.3
330066465,010788396,854472.8,6564694.4
010785897,010788412,917214.9,6561273
010001022,010788438,897046.6,6519404.4
010787091,010788495,871725.5,6567830.8
840020457,010788503,871138.9,6572136.4
010783009,010788560,870618.7,6567988
010787109,010788594,889048.6,6541795.9
010785806,010788610,908383.6,6531114.6
010789279,010788644,886371.4,6551654.4
010001063,010788669,878015.8,6528857.4
010783009,010788677,904536,6576871.1
060002250,010788743,872275,6569678.5
010783009,010788750,864463.8,6557732
010011013,010788768,928996.9,6568785.3
010001113,010788784,888691.2,6541394.3
010783009,010788792,863810.9,6584119
010787109,010788818,933701.4,6575703.7
010787109,010788826,871242,6569915.3
010780997,010788883,863393.9,6584487.4
010012532,010788891,908822.1,6534065
010785897,010788909,873325.4,6583801.2
010785897,010788990,872979.7,6584630.5
