"","fi","an","fi_ej","rs","grp","stjr","cat","dep","reg","espic","COMINSEE","DISCI","DISCIPLINE","LIT","SEJHC","JOU","PLA","SEJHP","PAS","SEJACC","IVG","SEHEM","SERAD","SECHI"
"937","160013207",2024,"160001632","CENTRE CLINICAL SA","09",2,128,"16","75",0,"16374",21100,"Médecine",33,3019,9881,13,6076,NA,NA,NA,NA,NA,6466
"938","160013207",2024,"160001632","CENTRE CLINICAL SA","09",2,128,"16","75",0,"16374",21200,"Chirurgie",63,3529,8492,51,11514,NA,NA,NA,NA,NA,NA
"939","160013207",2024,"160001632","CENTRE CLINICAL SA","09",2,128,"16","75",0,"16374",21300,"Gynéco-Obstétrique",20,982,3634,4,266,NA,873,30,NA,NA,NA
"940","160015368",2024,"160014411","HOPITAUX DU GRAND COGNAC","04",1,355,"16","75",1,"16102",21100,"Médecine",67,4955,22650,10,1034,16248,NA,NA,NA,NA,1785
"941","160015368",2024,"160014411","HOPITAUX DU GRAND COGNAC","04",1,355,"16","75",1,"16102",21300,"Gynéco-Obstétrique",15,748,2749,NA,113,NA,588,45,NA,NA,NA
"942","160016374",2024,"860012913","SSR ANTENNE CRBVTA LES GLAMOTS","09",3,109,"16","75",7,"16287",24000,"Soins de suite et réadaptation",NA,0,0,5,1421,NA,NA,NA,NA,NA,NA
"943","160017240",2024,"160000501","CH CAMILLE CLAUDEL - SITE JEAN DOUCET","04",1,292,"16","75",1,"16341",21100,"Médecine",15,251,3088,6,81,NA,NA,NA,NA,NA,NA
"944","170000038",2024,"170780050","CENTRE HOSPITALIER JONZAC","04",1,355,"17","75",1,"17197",21100,"Médecine",53,2885,21565,4,627,14213,NA,NA,NA,NA,608
"945","170000038",2024,"170780050","CENTRE HOSPITALIER JONZAC","04",1,355,"17","75",1,"17197",21200,"Chirurgie",19,1026,5577,7,2454,NA,NA,NA,NA,NA,NA
"946","170000038",2024,"170780050","CENTRE HOSPITALIER JONZAC","04",1,355,"17","75",1,"17197",21300,"Gynéco-Obstétrique",NA,0,0,NA,0,NA,0,97,NA,NA,NA
"947","170000038",2024,"170780050","CENTRE HOSPITALIER JONZAC","04",1,355,"17","75",1,"17197",24000,"Soins de suite et réadaptation",32,264,8891,5,2105,NA,NA,NA,NA,NA,NA
"948","170000061",2024,"170024194","CSS DU CHATEAU MARLONGES - CHAMBON","04",1,355,"17","75",1,"17080",24000,"Soins de suite et réadaptation",58,355,13573,NA,0,NA,NA,NA,NA,NA,NA
"949","170000079",2024,"170780142","CTRE HOSPITALIER ST-PIERRE D'OLERON","04",1,106,"17","75",1,"17385",21100,"Médecine",11,54,1043,1,0,NA,NA,NA,NA,NA,NA
"950","170000079",2024,"170780142","CTRE HOSPITALIER ST-PIERRE D'OLERON","04",1,106,"17","75",1,"17385",24000,"Soins de suite et réadaptation",15,128,4163,NA,0,NA,NA,NA,NA,NA,NA
"951","170000087",2024,"170024194","HOPITAL SAINT-LOUIS - LA ROCHELLE","04",1,355,"17","75",1,"17300",21100,"Médecine",430,18351,129703,43,6553,51253,NA,NA,17114,NA,18174
"952","170000087",2024,"170024194","HOPITAL SAINT-LOUIS - LA ROCHELLE","04",1,355,"17","75",1,"17300",21200,"Chirurgie",104,6461,33054,30,7910,NA,NA,NA,NA,NA,NA
"953","170000087",2024,"170024194","HOPITAL SAINT-LOUIS - LA ROCHELLE","04",1,355,"17","75",1,"17300",21300,"Gynéco-Obstétrique",42,3170,12218,2,943,NA,2014,655,NA,NA,NA
"954","170000087",2024,"170024194","HOPITAL SAINT-LOUIS - LA ROCHELLE","04",1,355,"17","75",1,"17300",23000,"Hospitalisation à domicile",NA,NA,28698,110,1049,NA,NA,NA,NA,NA,NA
"955","170000095",2024,"170780175","CENTRE HOSPITALIER ST JEAN D'ANGELY","04",1,355,"17","75",1,"17347",21100,"Médecine",33,2908,14561,NA,0,10805,NA,NA,NA,NA,NA
"956","170000095",2024,"170780175","CENTRE HOSPITALIER ST JEAN D'ANGELY","04",1,355,"17","75",1,"17347",21200,"Chirurgie",10,821,1349,12,2166,NA,NA,NA,NA,NA,NA
"957","170000095",2024,"170780175","CENTRE HOSPITALIER ST JEAN D'ANGELY","04",1,355,"17","75",1,"17347",21300,"Gynéco-Obstétrique",NA,0,0,NA,0,NA,0,1,NA,NA,NA
"958","170000095",2024,"170780175","CENTRE HOSPITALIER ST JEAN D'ANGELY","04",1,355,"17","75",1,"17347",24000,"Soins de suite et réadaptation",100,947,29587,8,1378,NA,NA,NA,NA,NA,NA
"959","170000103",2024,"170780175","CH DE SAINTONGE - SAINTES","04",1,355,"17","75",1,"17415",21100,"Médecine",230,11210,71615,8,1262,31117,NA,NA,13294,20540,10811
"960","170000103",2024,"170780175","CH DE SAINTONGE - SAINTES","04",1,355,"17","75",1,"17415",21200,"Chirurgie",55,3498,17164,10,5222,NA,NA,NA,NA,NA,NA
"961","170000103",2024,"170780175","CH DE SAINTONGE - SAINTES","04",1,355,"17","75",1,"17415",21300,"Gynéco-Obstétrique",23,1605,5948,NA,0,NA,1176,518,NA,NA,NA
"962","170000103",2024,"170780175","CH DE SAINTONGE - SAINTES","04",1,355,"17","75",1,"17415",23000,"Hospitalisation à domicile",NA,NA,31090,98,1404,NA,NA,NA,NA,NA,NA
"963","170000111",2024,"170024194","CH ST HONORE - ST-MARTIN-DE-RE","04",1,355,"17","75",1,"17369",21100,"Médecine",3,5,69,NA,0,NA,NA,NA,NA,NA,NA
"964","170000111",2024,"170024194","CH ST HONORE - ST-MARTIN-DE-RE","04",1,355,"17","75",1,"17369",24000,"Soins de suite et réadaptation",30,281,9129,NA,0,NA,NA,NA,NA,NA,NA
"965","170000129",2024,"170780191","CENTRE HOSPITALIER ROYAN-ATLANTIQUE","04",1,355,"17","75",1,"17306",21100,"Médecine",83,3317,29929,10,529,NA,NA,NA,NA,NA,3289
