"eval_counter";"datetime";"start_id";"objective_value";"best_value";"is_best";"n_rep_obj";"beta_Cancer centre (CLCC)";"beta_General public hospital";"beta_Private for profit hospital";"beta_Private not-for-profit hospital";"beta_Rehabilitation hospital";"beta_University hospital";"inc_sim_Cancer centre (CLCC)";"inc_sim_General public hospital";"inc_sim_Private for profit hospital";"inc_sim_Private not-for-profit hospital";"inc_sim_Rehabilitation hospital";"inc_sim_University hospital";"sse_Cancer centre (CLCC)";"sse_General public hospital";"sse_Private for profit hospital";"sse_Private not-for-profit hospital";"sse_Rehabilitation hospital";"sse_University hospital"
21;"2026-06-30 23:53:53";2;1.86065244648466;1.82244392167036;FALSE;5;0.0015;0.0015;0.00287396935624967;0.0015;0.0015;0.0015;0.0506160916309723;0.0681232336202936;0.138581184013063;0.0649970708475024;0.0650584804426735;0.0711550943129354;0.265778317239474;0.262468351191961;0.321110964151868;0.714072255383599;0.0704070881824266;0.226815470335335
22;"2026-06-30 23:57:17";2;1.81355343057054;1.81355343057054;TRUE;5;0.0015;0.0015;0.0015;0.00287396935624967;0.0015;0.0015;0.0717594397655678;0.06995298752279;0.0677566790875703;0.131282104607902;0.0692862150016159;0.0704214386968862;0.244425005202592;0.26059687240727;0.406394828531083;0.606440547197338;0.0681813595033266;0.227514817728929
23;"2026-07-01 00:00:38";2;1.87233651124533;1.81355343057054;FALSE;5;0.0015;0.0015;0.0015;0.0015;0.00287396935624967;0.0015;0.0769024535744153;0.0704497441154078;0.0710761167738566;0.0698623014317692;0.139278260513998;0.0695936332764239;0.23936610984588;0.260089943710935;0.402173623619183;0.705873414088455;0.03652821523189;0.228305204748984
24;"2026-07-01 00:03:59";2;1.84434196426366;1.81355343057054;FALSE;5;0.0015;0.0015;0.0015;0.0015;0.0015;0.00287396935624967;0.0759173866380836;0.070326263888384;0.0710162835789341;0.071115525213984;0.0697297713937177;0.135306470073014;0.240330969301988;0.260215906355033;0.402249516225616;0.703769160828169;0.0679499172536905;0.169826494299165
25;"2026-07-01 00:07:16";2;1.81453399567236;1.81355343057054;FALSE;5;0.00186303730170317;0.00186303730170317;0.00186303730170318;0.00186303730170318;0.00186303730170318;0.00186303730170318;0.0778347080642769;0.0856758648211984;0.091645062246795;0.0859354807155389;0.0742015474891293;0.0891300165172678;0.23845476688303;0.244791435577582;0.376508222841022;0.679123588783982;0.0656385799580933;0.21001740162865
26;"2026-07-01 00:10:36";2;1.84584293248778;1.81355343057054;FALSE;5;0.00176477351560319;0.00176477351560319;0.0017647735156032;0.0017647735156032;0.0017647735156032;0.0017647735156032;0.0727376181219251;0.0831410134871953;0.085303520632727;0.0814803335450031;0.0719082562253744;0.0810998480727572;0.243458751849873;0.247306167521562;0.384330811581162;0.686486317586978;0.0668189228392506;0.217441961108959
27;"2026-07-01 00:13:55";2;1.77184763116257;1.77184763116257;TRUE;5;0.00200261891680447;0.00200261891680447;0.00200261891680448;0.00200261891680448;0.000841544621667767;0.00200261891680448;0.105128364095435;0.0936028089193285;0.0940246121855477;0.0971845254362506;0.0419286615714861;0.0948875958025967;0.212543726848231;0.237010338562247;0.373593688760777;0.660709689355188;0.0832167634979155;0.204773424138213
28;"2026-07-01 00:17:31";2;1.70394291280924;1.70394291280924;TRUE;5;0.00231393865835829;0.00231393865835829;0.0023139386583583;0.0023139386583583;0.000455380737959093;0.00231393865835831;0.110358357707425;0.109802965986043;0.113925847506537;0.110816600359617;0.0234316057514538;0.109150200744522;0.20774876774449;0.221499109457232;0.349661558083403;0.638734117445357;0.0942307128233435;0.192068647255418
29;"2026-07-01 00:21:12";2;1.76182506604353;1.70394291280924;FALSE;5;0.000972368040904046;0.0023139386583583;0.0023139386583583;0.0023139386583583;0.00108366693423571;0.0023139386583583;0.042688070862363;0.108858458457197;0.106240293425696;0.114413911878987;0.0478562167324103;0.107200362274972;0.27401554559113;0.222389041778263;0.35880989830092;0.632997054699408;0.0798320182825557;0.19378150739125
30;"2026-07-01 00:25:05";2;1.79659491973512;1.70394291280924;FALSE;5;0.00127495113684939;0.00207628370758298;0.00207628370758298;0.00207628370758298;0.00117542434455388;0.00207628370758298;0.0621467478784322;0.0976883875722618;0.0980893723414868;0.0990687400078972;0.047290192287358;0.0967625508728049;0.254022315227845;0.233049008184902;0.368641260357627;0.65765010776539;0.0801521941035257;0.203080034095832
31;"2026-07-01 00:28:51";2;1.75830163850991;1.70394291280924;FALSE;5;0.00161238230305992;0.00267365501729541;0.00112352878579129;0.00267365501729542;0.000972368040904051;0.00267365501729543;0.0635601007937022;0.125191224242841;0.0502737377988179;0.130756546805965;0.0374901863730143;0.127402829865384;0.252599635346212;0.207251343042141;0.428990918683253;0.607259372250888;0.0857972254838259;0.176403143703594
32;"2026-07-01 00:32:29";2;1.79398594282845;1.70394291280924;FALSE;5;0.00158352101719953;0.0023139386583583;0.00142088420397422;0.0023139386583583;0.00108366693423571;0.0023139386583583;0.0641360779272906;0.110786231399562;0.0707397355254407;0.106660423258953;0.0485440661968488;0.107007306542628;0.252021003046063;0.220574554258693;0.402600383643413;0.645394694819182;0.0794437937347989;0.193951513326304
