seed_rule,seed_type,beta_regime,rep_id,sim_seed,beta_within_iter,seed_hospital_iter
random_MCO_SSR,type_random,high,5,11005,0.015293539956781172,130000565
random_MCO_SSR,type_random,high,3,11003,0.01624922451388594,410004063
random_MCO_SSR,type_random,high,10,11010,0.019520846083861447,020000089
random_MCO_SSR,type_random,high,18,11018,0.02066338432746034,250000627
random_MCO_SSR,type_random,high,12,11012,0.021662029838736236,770000164
random_MCO_SSR,type_random,high,16,11016,0.023817363206988382,460780042
random_MCO_SSR,type_random,high,15,11015,0.027583093885849667,010000065
random_MCO_SSR,type_random,high,1,11001,0.02862659363199643,520000019
random_MCO_SSR,type_random,high,20,11020,0.029411075149386047,240000455
random_MCO_SSR,type_random,high,14,11014,0.030920565964364204,260000278
random_MCO_SSR,type_random,high,9,11009,0.03128659938883805,490000262
random_MCO_SSR,type_random,high,11,11011,0.032374558059402134,640000600
random_MCO_SSR,type_random,high,13,11013,0.03851945116072104,380000026
random_MCO_SSR,type_random,high,17,11017,0.03906857330551345,830100558
random_MCO_SSR,type_random,high,2,11002,0.04212319862880011,830213856
random_MCO_SSR,type_random,low,13,11013,5.557824619458048e-4,380000026
random_MCO_SSR,type_random,low,18,11018,0.003211175938422628,250000627
random_MCO_SSR,type_random,low,4,11004,0.0032115623371436796,580972685
random_MCO_SSR,type_random,low,12,11012,0.0034514416622792215,770000164
random_MCO_SSR,type_random,low,8,11008,0.0035295010399841497,770000149
random_MCO_SSR,type_random,low,20,11020,0.003562223327239644,240000455
random_MCO_SSR,type_random,low,3,11003,0.0036001061769761356,410004063
random_MCO_SSR,type_random,low,11,11011,0.005085265204119313,640000600
random_MCO_SSR,type_random,low,16,11016,0.005169270191932729,460780042
random_MCO_SSR,type_random,low,19,11019,0.005470742154229341,750055287
random_MCO_SSR,type_random,low,14,11014,0.005682275376178242,260000278
random_MCO_SSR,type_random,low,2,11002,0.005735981629763286,830213856
random_MCO_SSR,type_random,low,9,11009,0.005736733073273484,490000262
