"","date","total_patients","total_infected","overall_prevalence"
"201",2024-07-25,25066,199,0.00793904093193968
"202",2024-07-26,25066,200,0.00797893560998963
"203",2024-07-27,25066,200,0.00797893560998963
"204",2024-07-28,25066,200,0.00797893560998963
"205",2024-07-29,25066,200,0.00797893560998963
"206",2024-07-30,25066,200,0.00797893560998963
"207",2024-07-31,25066,201,0.00801883028803958
"208",2024-08-01,25066,201,0.00801883028803958
"209",2024-08-02,25066,199,0.00793904093193968
"210",2024-08-03,25066,198,0.00789914625388973
"211",2024-08-04,25066,199,0.00793904093193968
"212",2024-08-05,25066,201,0.00801883028803958
"213",2024-08-06,25066,201,0.00801883028803958
"214",2024-08-07,25066,201,0.00801883028803958
"215",2024-08-08,25066,203,0.00809861964413947
"216",2024-08-09,25066,202,0.00805872496608952
"217",2024-08-10,25066,202,0.00805872496608952
"218",2024-08-11,25066,203,0.00809861964413947
"219",2024-08-12,25066,203,0.00809861964413947
"220",2024-08-13,25066,204,0.00813851432218942
"221",2024-08-14,25066,203,0.00809861964413947
"222",2024-08-15,25066,203,0.00809861964413947
"223",2024-08-16,25066,204,0.00813851432218942
"224",2024-08-17,25066,204,0.00813851432218942
"225",2024-08-18,25066,204,0.00813851432218942
"226",2024-08-19,25066,205,0.00817840900023937
"227",2024-08-20,25066,205,0.00817840900023937
"228",2024-08-21,25066,205,0.00817840900023937
"229",2024-08-22,25066,203,0.00809861964413947
"230",2024-08-23,25066,203,0.00809861964413947
"231",2024-08-24,25066,202,0.00805872496608952
"232",2024-08-25,25066,204,0.00813851432218942
"233",2024-08-26,25066,203,0.00809861964413947
"234",2024-08-27,25066,203,0.00809861964413947
"235",2024-08-28,25066,202,0.00805872496608952
"236",2024-08-29,25066,202,0.00805872496608952
"237",2024-08-30,25066,202,0.00805872496608952
"238",2024-08-31,25066,202,0.00805872496608952
"239",2024-09-01,25066,202,0.00805872496608952
"240",2024-09-02,25066,202,0.00805872496608952
"241",2024-09-03,25066,202,0.00805872496608952
"242",2024-09-04,25066,201,0.00801883028803958
"243",2024-09-05,25066,201,0.00801883028803958
"244",2024-09-06,25066,202,0.00805872496608952
"245",2024-09-07,25066,202,0.00805872496608952
"246",2024-09-08,25066,202,0.00805872496608952
"247",2024-09-09,25066,200,0.00797893560998963
"248",2024-09-10,25066,200,0.00797893560998963
"249",2024-09-11,25066,200,0.00797893560998963
"250",2024-09-12,25066,201,0.00801883028803958
"251",2024-09-13,25066,202,0.00805872496608952
"252",2024-09-14,25066,201,0.00801883028803958
"253",2024-09-15,25066,201,0.00801883028803958
"254",2024-09-16,25066,200,0.00797893560998963
"255",2024-09-17,25066,201,0.00801883028803958
"256",2024-09-18,25066,201,0.00801883028803958
"257",2024-09-19,25066,201,0.00801883028803958
"258",2024-09-20,25066,202,0.00805872496608952
"259",2024-09-21,25066,203,0.00809861964413947
"260",2024-09-22,25066,204,0.00813851432218942
"261",2024-09-23,25066,205,0.00817840900023937
"262",2024-09-24,25066,204,0.00813851432218942
"263",2024-09-25,25066,204,0.00813851432218942
"264",2024-09-26,25066,201,0.00801883028803958
"265",2024-09-27,25066,201,0.00801883028803958
"266",2024-09-28,25066,200,0.00797893560998963
"267",2024-09-29,25066,201,0.00801883028803958
"268",2024-09-30,25066,200,0.00797893560998963
